Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Valid
China,2024,Fruits & Vegetables,14112.86,16584.4,72.25,1333.34,34.54,Keep
Indonesia,2023,Meat & Seafood,26972.75,23026.53,103.94,454.48,37.06,Keep
Brazil,2023,Meat & Seafood,23314.59,20936.8,167.1,659.43,44.29,Keep
South Africa,2023,Meat & Seafood,19412.2,18532.37,36.13,813.79,36.99,Keep
Canada,2023,Prepared Food,46789.67,47361.14,174.92,1320.44,34.79,Keep
Australia,2023,Meat & Seafood,24682.22,28654.54,182.5,1173.32,41.6,Keep
Russia,2024,Fruits & Vegetables,9075.75,8738.84,83.56,869.57,44,Keep
Japan,2023,Grains & Cereals,5238.17,4223.73,58.54,99.46,44.58,Keep
UK,2023,Fruits & Vegetables,6249.74,6674.64,53.21,446.03,39.3,Keep
UK,2024,Prepared Food,38206.78,32981.14,65.26,981.18,61.86,Keep
Canada,2024,Dairy Products,25383.46,24480.33,22.15,201.71,56.01,Keep
USA,2023,Dairy Products,22462.46,25994.95,69.93,1190.43,66.93,Keep
Spain,2024,Frozen Food,17849.11,18029.79,69.27,545.32,59.11,Keep
India,2024,Beverages,19678.15,19772.16,173.21,1137.81,55.62,Keep
Germany,2024,Prepared Food,7322.68,7798.37,89.85,240.95,54.05,Keep
Argentina,2024,Frozen Food,22381.44,23224.97,115.02,871.36,52.48,Keep
Germany,2024,Grains & Cereals,29844.57,33358.93,139.27,966.21,33.66,Keep
Australia,2024,Frozen Food,29146.86,29856.58,85.87,1050.94,49.12,Keep
South Korea,2023,Dairy Products,28953.39,23474.35,85.73,692.25,48.77,Keep
France,2023,Dairy Products,40955.59,44365.92,69.07,46.2,65.91,Keep
China,2024,Dairy Products,5317.02,4775.77,112.06,768.63,34.47,Keep
Germany,2024,Meat & Seafood,14143.32,13506.93,171.49,86.22,59.68,Keep
Saudi Arabia,2023,Bakery Items,9972.79,8508.79,62.35,1286.68,48.2,Keep
India,2024,Prepared Food,32300.63,31228.77,46.82,203.31,49.55,Keep
France,2024,Beverages,33050.66,35584.18,80.09,12.82,38.53,Keep
Turkey,2023,Bakery Items,42043.11,40712.88,54.14,983.64,59.16,Keep
France,2024,Prepared Food,1068.09,1071.36,172.65,1130.56,52,Keep
Spain,2023,Fruits & Vegetables,29527.31,32708.12,177.67,871.21,57.64,Keep
Saudi Arabia,2024,Grains & Cereals,18392.83,19648.54,139.8,601.8,38.64,Keep
South Korea,2023,Prepared Food,33989.45,33107.88,152.72,125.27,69.08,Keep
Turkey,2024,Fruits & Vegetables,33614.07,32623.83,35.02,1045.46,49.35,Keep
Australia,2024,Bakery Items,45258.75,42228.86,114.78,544.7,46.66,Keep
South Africa,2023,Prepared Food,25617.1,30499.99,66.38,1284.1,53.8,Keep
South Africa,2024,Grains & Cereals,28886.32,27282.46,142.77,1363.17,31.8,Keep
Italy,2023,Prepared Food,28982.57,28253.05,47.06,191.98,33.6,Keep
South Africa,2023,Prepared Food,24001.75,24944.99,73.74,857.66,47.13,Keep
France,2023,Frozen Food,42441.31,45200.44,77.05,201.51,53.12,Keep
Indonesia,2024,Beverages,10968.83,12751.88,186.86,62.95,69.84,Keep
Germany,2023,Prepared Food,41325.75,46510.43,137.48,1331.94,53.83,Keep
Brazil,2024,Prepared Food,32131.15,26414.69,171,841.62,30.67,Keep
Australia,2024,Prepared Food,40280.78,44555.83,91.29,631.94,36.47,Keep
Italy,2024,Prepared Food,39430.11,33967.67,195.56,1238.38,51.91,Keep
Australia,2024,Fruits & Vegetables,33383.46,31641.85,179.15,700.52,42.09,Keep
Italy,2023,Dairy Products,11076.21,9468.17,23.69,847.22,55.89,Keep
South Korea,2023,Bakery Items,23698.47,26035.42,135.45,424.67,50.69,Keep
Argentina,2024,Grains & Cereals,13083.38,13486.47,83.71,96.73,56.13,Keep
Germany,2022,Dairy Products,9700.16,8909.16,166.94,1006.11,48.08,Keep
Japan,2022,Frozen Food,41025.9,35437.9,49.95,1219.43,33.79,Keep
USA,2022,Bakery Items,32457.98,27905.84,46.77,865.6,46.46,Keep
UK,2022,Meat & Seafood,25829.56,20806.34,119.62,185.01,32.51,Keep
Australia,2023,Frozen Food,34163.29,40069.69,91.17,635.01,56.12,Keep
USA,2024,Fruits & Vegetables,10616.72,12150.96,149.33,1263.27,54.82,Keep
Argentina,2022,Bakery Items,17868.63,20588.93,82.52,897.76,54.59,Keep
Spain,2023,Frozen Food,43452.84,46978.35,169.27,1297.91,53.51,Keep
USA,2022,Dairy Products,8731.68,10040.12,63.83,543.41,42.96,Keep
France,2023,Grains & Cereals,18789.68,19530.43,86.12,53.04,66.46,Keep
Australia,2022,Grains & Cereals,13313.78,13273.68,140.85,183.45,41.34,Keep
Japan,2022,Prepared Food,3891.45,4059.29,183.91,160.01,43.77,Keep
Turkey,2022,Prepared Food,11484.88,10827.65,196.26,39.26,63.03,Keep
Australia,2023,Meat & Seafood,27759.88,31262.21,36.5,86.32,64.27,Keep
Turkey,2022,Grains & Cereals,29147.18,33953.62,131.16,1317.63,44.8,Keep
France,2022,Fruits & Vegetables,23626.74,24156.13,198.38,745.17,66.68,Keep
UK,2023,Prepared Food,41999.88,35491.64,21.29,625.16,54.64,Keep
Australia,2024,Grains & Cereals,49903.52,44884.59,129.95,64.36,40.59,Keep
France,2024,Beverages,15469.35,17461.83,179.3,1024.33,62.56,Keep
Argentina,2024,Bakery Items,8418.73,7673.55,120.96,340.94,55.71,Keep
Germany,2022,Beverages,48456.51,42311.26,191.89,370.23,57.62,Keep
South Africa,2023,Prepared Food,1765.31,1563.86,141.68,788.06,56.57,Keep
Brazil,2022,Fruits & Vegetables,37440.24,33827.9,94.17,953.06,45.73,Keep
Saudi Arabia,2022,Meat & Seafood,11318.5,12341.11,64.35,1018.05,69.02,Keep
Russia,2022,Meat & Seafood,38383.37,42044.15,140.83,515.01,69.26,Keep
Argentina,2022,Dairy Products,8037.7,8365.37,196.29,880.47,38.36,Keep
India,2022,Frozen Food,11629.26,11829.8,64.13,716.37,32.13,Keep
Mexico,2023,Beverages,8699.67,8805.29,189.81,345.31,64.42,Keep
China,2024,Frozen Food,13669.91,12235.48,46.99,478.99,36.68,Keep
Saudi Arabia,2022,Grains & Cereals,42281.31,42664.53,35.36,994.35,49.71,Keep
China,2024,Prepared Food,47273.82,56132.73,158.63,692.1,49.21,Keep
USA,2022,Bakery Items,48642.96,50037.63,57.61,1105.55,51.9,Keep
Germany,2022,Beverages,14791.28,16497.72,159.67,667.57,58.89,Keep
Turkey,2022,Prepared Food,43199.69,47597.87,60.43,1077.09,51.84,Keep
Brazil,2022,Prepared Food,36132.58,36878.62,116.97,999.12,37.92,Keep
Brazil,2023,Dairy Products,3612.24,3485.04,63.42,12.57,36.42,Keep
Canada,2022,Dairy Products,40267.47,39933.88,171.17,844.93,42.93,Keep
Argentina,2023,Dairy Products,48008.92,41651.09,115.44,1140.21,45.33,Keep
Saudi Arabia,2022,Grains & Cereals,25689.2,27161.16,190.25,722.25,41.02,Keep
USA,2023,Fruits & Vegetables,48670.4,56412.39,69.19,733.21,40.28,Keep
South Africa,2022,Meat & Seafood,3751.19,3403.5,112.55,600.38,69.47,Keep
USA,2022,Meat & Seafood,12712.22,11265.97,31.29,1167.45,48.77,Keep
Spain,2022,Fruits & Vegetables,49893.96,42739.19,123.54,446.97,62.03,Keep
Saudi Arabia,2023,Fruits & Vegetables,12533.98,13274.87,34.55,684.75,47.1,Keep
France,2022,Dairy Products,739.5,763.45,172.65,673.21,59.47,Keep
Italy,2022,Prepared Food,16593.43,16794.72,40,18.13,58.34,Keep
South Korea,2022,Beverages,31835.4,33619.04,186.04,1085.21,40.81,Keep
Saudi Arabia,2022,Dairy Products,37587.48,37984.64,60.13,361.08,43.27,Keep
South Korea,2023,Bakery Items,6255.34,5710.01,185.16,1355.39,55.56,Keep
Japan,2022,Frozen Food,47284.74,54679.88,86.66,891.21,34.15,Keep
Indonesia,2024,Beverages,42685.71,34688.01,54.69,517.68,45.35,Keep
Brazil,2023,Grains & Cereals,30858.1,28632.37,171.82,648.37,64.82,Keep
Turkey,2024,Bakery Items,4237.6,4359.67,49.5,408.05,54.68,Keep
Mexico,2024,Prepared Food,45968.75,45861.88,164.12,81.58,62.05,Keep
China,2022,Frozen Food,19970.98,20997.66,100.95,180.09,57.56,Keep
Australia,2022,Prepared Food,6445.46,6889.42,168.41,300.61,45.14,Keep
UK,2023,Dairy Products,25519.74,27912.81,120.41,607.7,63.78,Keep
Indonesia,2022,Prepared Food,10489.55,11668.87,116.66,1379.49,66.13,Keep
Spain,2022,Beverages,16295.06,15742.71,194.26,1005.63,32.61,Keep
Argentina,2022,Dairy Products,11936.85,13402.52,137.37,74.28,63.35,Keep
Mexico,2022,Meat & Seafood,3703.66,3078.03,160.61,657.65,36.48,Keep
Indonesia,2022,Beverages,30712.33,35453.71,84.58,1152.47,47.68,Keep
Japan,2023,Fruits & Vegetables,32184.1,35437.17,164.27,1316.74,46.38,Keep
South Korea,2022,Dairy Products,30609.13,26741.35,87.04,231.66,42.59,Keep
Saudi Arabia,2024,Fruits & Vegetables,36201.48,37772.46,168.93,508.2,39.96,Keep
Australia,2022,Meat & Seafood,25947.66,23899.18,48.07,469.91,62.42,Keep
Argentina,2022,Fruits & Vegetables,43281.08,38481.97,187.09,1109.48,30.44,Keep
UK,2023,Bakery Items,41956.05,49083.9,101.4,161.99,62.28,Keep
Mexico,2022,Meat & Seafood,49188.61,44353.01,164.75,659.02,63.83,Keep
Canada,2022,Dairy Products,8075.18,9515,192.64,552.09,62.82,Keep
USA,2023,Bakery Items,18793.14,22519.58,75.35,676.81,68.93,Keep
Brazil,2022,Bakery Items,37256.43,39190.01,38.82,1199.92,59.66,Keep
USA,2023,Prepared Food,11778.4,13323.99,34.1,269.01,61.89,Keep
Germany,2022,Dairy Products,740.99,831.86,53.1,1360.46,33.61,Keep
Brazil,2023,Fruits & Vegetables,30851.35,28023.51,145.25,1160.69,61.55,Keep
Australia,2023,Meat & Seafood,43985.69,36166.53,152.61,554.79,60.25,Keep
Germany,2024,Prepared Food,34851.72,29922.81,137.1,178.34,40.51,Keep
UK,2022,Dairy Products,49529.61,52776.18,118.72,903.19,41.13,Keep
Mexico,2024,Fruits & Vegetables,7233.02,8039.87,55.81,751.03,58,Keep
Brazil,2023,Fruits & Vegetables,29196.12,24627.33,186.14,889.4,69.98,Keep
Canada,2022,Dairy Products,25268.13,22719.63,60.51,352.62,32.32,Keep
Mexico,2022,Fruits & Vegetables,42384.09,36474.21,67.16,943.85,54.9,Keep
Spain,2024,Fruits & Vegetables,1128.02,1033.7,43.5,94.81,55.88,Keep
France,2024,Meat & Seafood,10040.72,8441.74,153.21,1034.64,31.35,Keep
Canada,2024,Grains & Cereals,45521.6,50145.26,71.92,1262.21,66.52,Keep
Argentina,2022,Fruits & Vegetables,49520.12,43991.89,53.18,1390.46,30.72,Keep
Mexico,2022,Bakery Items,39084.33,38765.74,137.49,443.4,52.83,Keep
Canada,2022,Dairy Products,37496.51,42211.61,156.9,70.03,46.42,Keep
Germany,2022,Bakery Items,17933.14,16338.87,55.04,533.84,35.51,Keep
Turkey,2024,Grains & Cereals,31340.38,26943.89,26.84,963.26,45.96,Keep
France,2022,Prepared Food,47744.44,53650.75,31.56,760.44,51.24,Keep
Saudi Arabia,2022,Prepared Food,1452.89,1463.53,151.26,967.76,58.87,Keep
Germany,2024,Meat & Seafood,803.87,772.65,49.71,682.1,44.36,Keep
China,2024,Frozen Food,33680.27,31829.4,74.82,801.48,31.36,Keep
Canada,2023,Frozen Food,5297.17,5731.9,129.41,358.81,62.13,Keep
France,2024,Dairy Products,8921.51,7409.04,61.46,1161.41,32.54,Keep
Brazil,2022,Dairy Products,11765.21,13641.61,174.43,1237.19,53.33,Keep
Russia,2022,Meat & Seafood,17362.26,16343.72,139.27,710.02,69.66,Keep
Italy,2024,Beverages,42071.87,43296.13,77.35,609.47,45.24,Keep
Turkey,2022,Meat & Seafood,34057.08,39020.78,184.44,361.57,48.02,Keep
UK,2022,Dairy Products,4585.3,5242.22,190.76,683.92,60.47,Keep
Saudi Arabia,2022,Beverages,24701.03,25708.18,54.58,1017.71,57.49,Keep
Mexico,2023,Meat & Seafood,21051.75,19053.44,87.34,173.01,65.86,Keep
South Africa,2023,Grains & Cereals,4936.9,4139.34,189.81,18.95,62.66,Keep
Saudi Arabia,2024,Bakery Items,22479.3,19768.33,174,670.27,35.06,Keep
Canada,2022,Grains & Cereals,19812.18,21933.49,39.2,1005.65,44.74,Keep
Germany,2023,Bakery Items,11091.2,10718.69,183.99,649.55,42.2,Keep
South Africa,2022,Beverages,33231.3,33766.93,113.61,1232.97,50.24,Keep
Mexico,2022,Beverages,12742.04,12835.43,66.34,683.77,42.23,Keep
Russia,2022,Beverages,29561.89,27591.25,169.82,949.89,39.65,Keep
UK,2022,Grains & Cereals,2157.21,2050.67,27.7,1299.73,45.37,Keep
Brazil,2024,Bakery Items,42784.14,36700.24,98.32,395.53,53.34,Keep
India,2023,Beverages,17289.99,17628.25,70.06,404.93,40.57,Keep
USA,2022,Meat & Seafood,39571.91,37077.05,89.73,612.95,52.89,Keep
Italy,2022,Prepared Food,27081.29,24870.73,52.05,1101.68,58.15,Keep
Turkey,2022,Prepared Food,7696.78,8450.6,77.25,1340.4,41.97,Keep
UK,2022,Grains & Cereals,7115.91,7979.12,40.1,175.89,61.09,Keep
Russia,2022,Meat & Seafood,22093.45,22206.46,43.27,636,57.83,Keep
Russia,2023,Meat & Seafood,29278.85,33984.53,125.56,1382.06,47.18,Keep
USA,2022,Bakery Items,2909.42,3013.57,165.59,497.79,61.8,Keep
Spain,2023,Grains & Cereals,14495.05,11697.29,94.35,792.01,37.36,Keep
Japan,2022,Grains & Cereals,34191.95,27453.58,88.82,1025.12,61.86,Keep
South Korea,2022,Grains & Cereals,36554.67,38456.4,132.92,327.44,65.88,Keep
Russia,2022,Prepared Food,34297.8,39263.78,50.86,1032.2,62.91,Keep
Argentina,2022,Meat & Seafood,28725.46,28821.33,126.02,412.4,48.87,Keep
Spain,2022,Fruits & Vegetables,34773.59,38031.52,147.56,665.77,31.45,Keep
Turkey,2022,Fruits & Vegetables,22312.82,23816.82,165.49,680.69,46.33,Keep
Germany,2022,Meat & Seafood,31865.01,30788.79,181.09,1304.01,58.7,Keep
France,2023,Fruits & Vegetables,5349.94,5829.07,46.26,1251.1,45.07,Keep
Argentina,2024,Dairy Products,16859.4,15936.64,136.15,748.17,52.32,Keep
Canada,2023,Fruits & Vegetables,17628.33,20816.6,58.42,475.26,63.55,Keep
Spain,2022,Grains & Cereals,31901.94,36181.41,103.08,157.45,41.4,Keep
Japan,2022,Meat & Seafood,19458.71,22447.19,82.62,1061.73,50.84,Keep
Canada,2022,Bakery Items,40766.07,40014.78,102.87,956.46,69.94,Keep
Canada,2024,Grains & Cereals,12997.52,14324.93,22.11,138.41,54.06,Keep
Saudi Arabia,2022,Beverages,15899.39,16551.56,196.11,1357.47,68.19,Keep
Argentina,2022,Frozen Food,33412.34,34850.59,104.15,331.23,64.99,Keep
Mexico,2024,Dairy Products,22909.3,26242.35,194.53,960.24,49.32,Keep
Brazil,2024,Dairy Products,41263.11,48331.29,163.97,1255.23,35.38,Keep
Italy,2023,Dairy Products,42229.35,39681.24,191.28,626.18,40.96,Keep
Canada,2022,Dairy Products,4388.44,4018.63,81.76,1385.96,30.99,Keep
UK,2022,Fruits & Vegetables,11625.2,13304.61,51.32,1224.54,60.51,Keep
India,2022,Grains & Cereals,32365.55,27479.09,191.92,1218.2,53.68,Keep
Spain,2023,Bakery Items,17014.53,19897.45,132.66,1040.56,40.29,Keep
USA,2022,Bakery Items,43533.11,42609.12,100,729.14,31.33,Keep
China,2024,Dairy Products,36317.93,30656.91,104.43,1131.98,45.72,Keep
USA,2024,Meat & Seafood,19352.44,19488.92,77.03,1127.53,69.76,Keep
Russia,2022,Fruits & Vegetables,38657.09,36583.54,67.33,1013.78,44.04,Keep
USA,2022,Frozen Food,1746.66,1480.35,104.05,873.39,66.42,Keep
Russia,2022,Dairy Products,41031.17,41606,198.76,1379.01,39.85,Keep
Indonesia,2022,Dairy Products,17070.67,19787.98,170.23,216.56,39.59,Keep
Canada,2022,Prepared Food,39270.11,33056.94,67.81,368.05,50.42,Keep
France,2022,Beverages,41661.37,46602.71,148.49,1234.67,34.77,Keep
UK,2022,Prepared Food,45377.13,37742,155.56,680.98,63.51,Keep
Italy,2024,Beverages,39257.04,43549.74,110.57,720.43,64.18,Keep
Russia,2022,Prepared Food,12914.29,11233.79,190.73,1101.96,68.18,Keep
Saudi Arabia,2022,Prepared Food,9735.28,10734.45,59.33,969.71,56.87,Keep
Argentina,2022,Beverages,15696.72,14452.61,57.68,1096.97,47.01,Keep
Russia,2022,Fruits & Vegetables,28964.9,26287.08,123.57,378.62,41.7,Keep
USA,2022,Fruits & Vegetables,26681.9,27854.54,70.71,1159.15,47.61,Keep
Japan,2024,Fruits & Vegetables,6894.25,7326,122.79,313.46,33.55,Keep
Italy,2023,Fruits & Vegetables,13884.82,14410.92,144.27,1163.04,66.9,Keep
USA,2022,Beverages,22759.44,22153.17,76.02,1049.57,68.54,Keep
China,2022,Dairy Products,43568.25,41325.89,68.51,1158.91,38.3,Keep
Russia,2023,Prepared Food,3067.42,3053.2,113.42,445.43,52.52,Keep
UK,2023,Grains & Cereals,7256.8,5877.43,63.78,1183.61,41.67,Keep
South Korea,2024,Fruits & Vegetables,29881.69,29847.43,169.12,359.36,48.5,Keep
Spain,2024,Meat & Seafood,5005.02,4506.29,54.28,1307.97,30.96,Keep
Brazil,2024,Prepared Food,15306.6,15829.19,162.8,69.71,34.34,Keep
India,2023,Beverages,47204.66,48115.64,48.03,1180.66,32.15,Keep
Indonesia,2022,Bakery Items,47937.02,39218.6,164.71,953.46,38.55,Keep
Spain,2023,Meat & Seafood,25784.26,23359.31,52.46,358.21,49.42,Keep
USA,2022,Meat & Seafood,35709.12,34134.17,141.9,57.58,46.73,Keep
Canada,2022,Bakery Items,32266.14,28182.03,62.43,618.72,61.01,Keep
Italy,2024,Beverages,39379.5,35484.15,135.79,627.49,30.64,Keep
UK,2022,Fruits & Vegetables,33854.23,30364.97,82.99,510.15,36.84,Keep
Brazil,2024,Fruits & Vegetables,24519.45,27371.31,103.22,1044.77,68.01,Keep
China,2022,Fruits & Vegetables,44291.93,47222.04,70.22,99.98,50.39,Keep
Russia,2022,Beverages,14279.35,12857.6,69.69,962.01,32.31,Keep
Brazil,2022,Frozen Food,2544.85,2094.59,54.43,158.79,50.68,Keep
China,2022,Meat & Seafood,46425.16,51894.08,119.52,1232.34,32.77,Keep
Spain,2022,Bakery Items,38743.72,34924.65,175.76,906.74,52.6,Keep
Spain,2022,Bakery Items,18914.73,17461.66,141.39,953.38,60.57,Keep
China,2022,Frozen Food,43403.34,50453.95,121.87,609.88,51.11,Keep
Mexico,2022,Fruits & Vegetables,13377.2,13169.52,124.92,233.39,48.27,Keep
UK,2024,Frozen Food,44300.46,43616.35,123.86,429.22,52.14,Keep
Argentina,2022,Frozen Food,13620.65,11080.62,42.48,625.3,32.53,Keep
Italy,2022,Fruits & Vegetables,15570.99,18315.75,189.25,164.5,36.89,Keep
Argentina,2022,Fruits & Vegetables,34127.57,38894.66,178.13,1044.28,41.8,Keep
USA,2022,Fruits & Vegetables,37308.22,35650.72,38.46,993.5,48.88,Keep
Russia,2022,Prepared Food,26371.71,29653.89,101.13,549.29,69.63,Keep
Italy,2023,Prepared Food,26233.47,25248.35,31.35,315.21,68.62,Keep
China,2022,Fruits & Vegetables,6956.39,8270.97,53.14,1079.91,44.37,Keep
Australia,2023,Beverages,12509.03,12718.88,26.14,1072.82,30.95,Keep
France,2022,Bakery Items,4249.76,3658.99,188.54,1375.48,34.06,Keep
UK,2022,Beverages,3352.93,3963.47,74.94,452.83,43.26,Keep
India,2024,Grains & Cereals,21192.16,18305.17,176.32,330.16,55.87,Keep
Russia,2023,Dairy Products,16739.67,18537.92,121.72,1032.79,54.41,Keep
Spain,2022,Prepared Food,27503.07,32988.39,192.1,936.51,57.31,Keep
Indonesia,2022,Dairy Products,28840.44,25910.74,102.04,948.24,36.51,Keep
Japan,2024,Frozen Food,43484.37,40215,102.46,1151.38,57.96,Keep
South Africa,2024,Meat & Seafood,22039.34,21863.99,181.91,1310.96,38.87,Keep
Turkey,2022,Fruits & Vegetables,38945.29,39970.75,78.25,643.38,62.42,Keep
Turkey,2024,Grains & Cereals,11432.67,11243.18,56.74,1003.13,41.91,Keep
China,2022,Prepared Food,25645.86,20939.16,87.21,1036.46,66.56,Keep
Spain,2023,Prepared Food,30414.62,36451.49,85.7,20.58,40.79,Keep
France,2022,Grains & Cereals,12831.68,10856.01,187.33,247.28,49.36,Keep
Russia,2022,Meat & Seafood,27577.58,22782.98,71.64,608.53,54.86,Keep
Australia,2022,Fruits & Vegetables,44744.89,37652.47,114.65,23.87,33.19,Keep
Italy,2022,Meat & Seafood,27169.47,27439.48,157.77,1326.82,66.28,Keep
Germany,2022,Frozen Food,23099.58,25032.75,162.46,543.41,58.07,Keep
South Africa,2022,Beverages,28529.39,26199.69,64.18,1060.6,39.56,Keep
Mexico,2022,Dairy Products,5170.01,6192.15,141.83,911.34,35.81,Keep
Spain,2022,Dairy Products,8499.64,8074.29,97.02,1353.16,40.54,Keep
South Africa,2022,Prepared Food,12719.37,12611.99,129.64,524.76,51.47,Keep
Italy,2024,Grains & Cereals,18515.86,17545.54,153.31,55.7,44.68,Keep
Spain,2022,Bakery Items,9297.42,8204.09,185.11,63.16,66.39,Keep
Saudi Arabia,2022,Beverages,15774.47,15802.45,175.73,1024.41,58.37,Keep
Argentina,2024,Fruits & Vegetables,11161.41,12094.6,72.15,1366.98,56.03,Keep
UK,2022,Meat & Seafood,10858.33,11545.39,167.61,1338.74,60.65,Keep
Germany,2024,Fruits & Vegetables,37046.95,40037.62,94.86,279.45,67.17,Keep
Russia,2024,Dairy Products,10931.38,12160.96,72.73,924.85,61.3,Keep
UK,2022,Meat & Seafood,11038.81,11671.56,117.63,494.43,39.87,Keep
France,2022,Fruits & Vegetables,35777.37,41960.35,101.92,690.45,65.48,Keep
Russia,2022,Bakery Items,25136.24,23880.07,162.68,662.96,55.93,Keep
Brazil,2022,Frozen Food,4987.56,4933.79,144.57,459.48,57.33,Keep
USA,2022,Beverages,506.76,489.15,149.12,569,59.39,Keep
India,2023,Meat & Seafood,34194.37,29599,100.29,709.57,43.3,Keep
Brazil,2024,Prepared Food,48171.35,54688.41,62.15,1050.41,35.65,Keep
Australia,2023,Bakery Items,1329.28,1220.13,152.26,515.72,31.62,Keep
India,2022,Grains & Cereals,8699.68,8021.62,44.52,760.48,68.35,Keep
Canada,2022,Frozen Food,26936.48,27192.47,93.51,193.61,33.5,Keep
USA,2024,Meat & Seafood,36406.66,38257.65,86.83,1025.96,40.15,Keep
France,2022,Frozen Food,21759.95,20158.29,178.59,267.77,68.79,Keep
Germany,2024,Beverages,23530.66,24956.85,35.86,1362.79,37.5,Keep
South Korea,2022,Beverages,23262.53,25824.94,75.9,1263.71,30.63,Keep
Australia,2023,Fruits & Vegetables,43827.67,45552.98,173.72,745.41,32.51,Keep
USA,2022,Dairy Products,25753.42,25942.47,71.51,577.14,65.23,Keep
Germany,2022,Dairy Products,6965.54,6131.14,174.3,84.59,31.59,Keep
Italy,2023,Dairy Products,804.2,907.98,140.12,494.37,44.63,Keep
Italy,2022,Beverages,13803,12865.32,185.07,957.42,66.26,Keep
Italy,2024,Meat & Seafood,26533.04,23117.07,110.72,189.41,62.45,Keep
Indonesia,2022,Fruits & Vegetables,2428.52,2418.17,52.27,70.69,61.93,Keep
USA,2022,Fruits & Vegetables,46965.32,54387.08,173.34,948.45,44.49,Keep
Indonesia,2024,Meat & Seafood,16944.66,18989.34,174,1220.97,62.35,Keep
Brazil,2022,Bakery Items,7366.15,6829.31,58.14,1384.79,46.29,Keep
Mexico,2024,Bakery Items,45967.48,46924.8,181.02,1025.26,48.85,Keep
Brazil,2023,Fruits & Vegetables,11186.25,11885.8,146.25,1353.71,36.75,Keep
Turkey,2022,Fruits & Vegetables,8983.57,7739.29,190.57,146.56,53.63,Keep
USA,2022,Bakery Items,22652.62,25093.08,123.3,1249.55,64.54,Keep
UK,2022,Frozen Food,35280.5,35456.5,199.44,859.08,60.34,Keep
South Korea,2023,Frozen Food,5896.86,6313.63,140.24,933.29,32.89,Keep
Turkey,2022,Meat & Seafood,41263.64,35583.19,37.78,417.22,40.68,Keep
Russia,2022,Grains & Cereals,6234.85,7062.98,21.23,508.75,64.79,Keep
Australia,2023,Dairy Products,47757.98,52330.54,87.2,261.3,65.82,Keep
Mexico,2022,Bakery Items,16359,17432.88,197.08,525.36,49.28,Keep
Turkey,2022,Fruits & Vegetables,10766.12,10972.16,182.51,118.34,32.3,Keep
Saudi Arabia,2022,Grains & Cereals,13946.56,16195.95,29.15,384.94,52.54,Keep
Russia,2022,Prepared Food,43572.95,41125.1,140.18,821.32,57.11,Keep
Indonesia,2022,Meat & Seafood,27393.87,28681.65,140.04,360.21,53.1,Keep
Spain,2024,Meat & Seafood,3335.93,2697.39,173.1,1281.32,47.84,Keep
Japan,2022,Prepared Food,3620.29,3800.3,151.72,910.07,59.25,Keep
Canada,2023,Prepared Food,40958.23,45227.94,100.92,1256.74,43.82,Keep
Canada,2024,Bakery Items,15633.24,15697.13,139.15,1330.71,33.3,Keep
China,2022,Bakery Items,13434.62,15556.38,69.43,1265.99,34.42,Keep
Germany,2024,Prepared Food,34319.79,34261.08,197.79,732.93,50.48,Keep
Canada,2022,Grains & Cereals,37200.74,41753.73,57.46,1337.2,31.29,Keep
South Africa,2022,Beverages,37881.41,38285.5,75.96,693.08,52.16,Keep
India,2022,Dairy Products,39749.49,36414.43,103.6,556.56,40.84,Keep
Spain,2022,Dairy Products,22076.13,23085.51,146.49,500.08,69.31,Keep
China,2022,Bakery Items,17883.92,20562.78,70.73,493.07,61.99,Keep
Australia,2024,Fruits & Vegetables,48288.75,47935.55,125.12,216.45,32.38,Keep
Saudi Arabia,2023,Bakery Items,36776.95,41808.37,185.28,1335.68,36.07,Keep
South Korea,2022,Frozen Food,44421.56,52735.74,49.55,289.01,67.15,Keep
Indonesia,2023,Frozen Food,13011.74,14987.95,45.55,17.03,69.2,Keep
India,2022,Prepared Food,16898.09,18118.42,169.95,151.66,63.02,Keep
UK,2022,Grains & Cereals,46158.97,41857.98,86.73,661.77,68.1,Keep
Indonesia,2022,Beverages,39179.76,41903.84,20.53,853.93,55.68,Keep
Mexico,2022,Frozen Food,10530.07,9172.97,136.9,511.7,55.72,Keep
Brazil,2024,Bakery Items,10227.92,9614.77,52.35,108.07,61.37,Keep
Mexico,2022,Dairy Products,2835.61,2322.24,64.81,1090.54,39.7,Keep
Japan,2023,Bakery Items,28724.78,29908.47,135.86,1383.32,48.97,Keep
Italy,2024,Fruits & Vegetables,39363.88,38203.95,55.09,322.55,63.49,Keep
Indonesia,2022,Fruits & Vegetables,19354.4,20751.86,64.75,1049.56,35.73,Keep
Russia,2024,Bakery Items,19933.91,22347.45,165.12,1115.19,52.42,Keep
Indonesia,2022,Frozen Food,43637.05,38890.96,79.13,524.46,66.53,Keep
France,2022,Fruits & Vegetables,46668.91,47669.01,109.29,647,51.51,Keep
USA,2022,Frozen Food,35232.72,40282.97,103.69,682.19,43.94,Keep
Spain,2022,Dairy Products,34661.41,41175.81,199.19,729.14,54.28,Keep
Germany,2023,Beverages,24881.93,22405.35,81.53,452.31,30.87,Keep
Italy,2022,Dairy Products,23421.47,24931.67,158.37,560.84,66.88,Keep
